COUNTRY;Total
Afghanistan;#DIV/0!
Albania;2.423165986
Algeria;3.007179889
American Samoa;#DIV/0!
Andorra;#DIV/0!
Angola;0.682998093
Anguilla;#N/A
Antarctica;#N/A
Antigua and Barbuda;0.929691011
Argentina;13.71987519
Armenia;2.286363753
Aruba;#DIV/0!
Australia;5.110294236
Austria;17.92548088
Azerbaijan;1.776522929
Bahamas;#DIV/0!
Bahrain;12.0692708
Bailiwick of Guernsey;#N/A
Bailiwick of Jersey;#N/A
Baker and Howland Island;#N/A
Bangladesh;6.905885552
Barbados;#DIV/0!
Belarus;2.4289678
Belgium;40.58009024
Belize;0.270620562
Benin;0.875495782
Bermuda;#DIV/0!
Bhutan;0.188493081
Bolivia;0.701855447
Bosnia&Herzegovina;1.641621118
Botswana;0.773227859
Bouvet I.;#N/A
Brazil;13.13609446
British Indian Ocean Territory;#N/A
British Virgin Is.;#N/A
Brunei;7.170619638
Bulgaria;5.080071748
Burkina Faso;0.442151932
Burundi;0.336790173
Cambodia;1.181433105
Cameroon;0.916802166
Canada;6.996927574
Cape Verde;0.164145947
Cayman Is.;#DIV/0!
Central African Republic;0.12891894
Chad;0.239854938
Chile;6.899238047
China;15.32146988
Christmas I.;#N/A
Cocos Is.;#N/A
Colombia;7.407881316
Comoros;0.138353478
Congo;0.530208881
Cook Is.;#N/A
Costa Rica;4.545236976
Cote d'Ivoire;0.933498879
Croatia;3.260313665
Cuba;#DIV/0!
Cyprus;3.429210407
Czech Republic;13.91345679
Democratic Republic of Congo;0.184525172
Denmark;13.57895596
Djibouti;0.320567981
Dominica;#DIV/0!
Dominican Republic;6.961733692
Ecuador;3.662738187
Egypt;9.803083163
El Salvador;8.150161316
Equatorial Guinea;1.568937331
Eritrea;0.21229595
Estonia;2.538880212
Ethiopia;0.597604268
Falkland Is.;#N/A
Faroe Is.;#DIV/0!
Federated State of Micronesia;0.041953642
Fiji;0.29570834
Finland;4.586850229
France;50.80760942
French Guiana;#N/A
French Polynesia;#DIV/0!
French Southern & Antarctic Lands;#N/A
Gabon;1.24174191
Gambia;0.458048494
Georgia;1.311056998
Germany;41.92899688
Ghana;1.21528483
Gibraltar;#DIV/0!
Greece;14.07629294
Greenland;0.061748451
Grenada;0.575211892
Guadeloupe;#N/A
Guam;#DIV/0!
Guatemala;4.819401989
Guinea;0.252755939
Guinea Bissau;0.093270315
Guyana;0.165675908
Haiti;1.516733548
Heard I. & McDonald Is.;#N/A
Honduras;1.502864072
Hong Kong;147.1982548
Hungary;14.42106273
Iceland;0.91768566
India;8.718627655
Indonesia;8.777882255
Iran;8.311472725
Iraq;#DIV/0!
Ireland;16.47480789
Isle of Man;#DIV/0!
Israel;20.88117503
Italy;34.18453105
Jamaica;2.551217906
Jan Mayen;#N/A
Japan;109.6259264
Jarvis I.;#N/A
Johnston Atoll;#N/A
Jordan;2.311112835
Kazakhstan;#DIV/0!
Kenya;2.041117458
Kiribati;0.014365461
Kuwait;19.35679167
Kyrgyztan;0.542196699
Laos;0.25616585
Latvia;2.776843387
Lebanon;11.3767944
Lesotho;0.3517746
Liberia;0.069806377
Libya;1.972569141
Liechtenstein;#DIV/0!
Lithuania;3.305129073
Luxembourg;10.0354852
Macau;#DIV/0!
Macedonia;2.356320036
Madagascar;0.344013476
Malawi;0.465146367
Malaysia;13.74235661
Maldives;0.093074199
Mali;0.167702775
Malta;5.249828066
Marshall Islands;#DIV/0!
Martinique;#N/A
Mauritania;0.127285342
Mauritius;6.925478942
Mayotte;#DIV/0!
Mexico;23.60844976
Midway Is.;#N/A
Moldova;0.84029797
Monaco;#DIV/0!
Mongolia;0.09665723
Montserrat;#N/A
Morocco;2.370046416
Mozambique;0.265693827
Myanmar;#DIV/0!
Namibia;0.357284251
Nauru;#N/A
Nepal;1.065742587
Netherlands;47.9483201
Netherlands Antilles;#DIV/0!
New Caledonia;#DIV/0!
New Zealand;4.202853719
Nicaragua;0.914888046
Niger;0.127801033
Nigeria;3.121464359
Niue;#N/A
Norfolk I.;#N/A
North Korea;#DIV/0!
Northern Mariana Is.;#DIV/0!
Norway;6.010618236
Oman;2.687592312
Pakistan;4.689291653
Palau;#DIV/0!
Panama;2.916465034
Papua New Guinea;0.263058553
Paraguay;1.364615239
Peru;3.701746326
Philippines;10.20311038
Pitcairn Is.;#N/A
Poland;10.53098757
Portugal;16.55333714
Puerto Rico;#DIV/0!
Qatar;#DIV/0!
Reunion;#N/A
Romania;7.14572316
Russia;6.936097365
Rwanda;0.946416185
Saint Helena;#N/A
Samoa;0.207817904
San Marino;#DIV/0!
Sao Tome and Principe;#DIV/0!
Saudi Arabia;4.990905515
Senegal;1.160638895
Serbia and Montenegro;#DIV/0!
Seychelles;#DIV/0!
Sierra Leone;0.248188573
Singapore;128.4703078
Slovakia;8.070027945
Slovenia;6.297000431
Solomon Islands;0.050485204
Somalia;#DIV/0!
South Africa;8.287502046
South Georgia & the South Sandwich Is.;#N/A
South Korea;86.03689334
Spain;26.49961393
Sri Lanka;6.576622617
St. Kitts and Nevis;#DIV/0!
St. Lucia;0.355010504
St. Pierre & Miquelon;#N/A
St. Vincent and the Grenadines;0.332383635
Sudan;1.075829705
Suriname;0.503954826
Svalbard;#N/A
Swaziland;1.075065794
Sweden;6.524243952
Switzerland;26.8018215
Syria;2.79502906
Taiwan;#DIV/0!
Tajikistan;0.556831786
Tanzania;0.458787743
Thailand;24.89898109
Timor Leste;#DIV/0!
Togo;0.46982318
Tokelau;#N/A
Tonga;0.086297081
Trinidad and Tobago;14.18120454
Tunisia;3.515683616
Turkey;12.06590931
Turkmenistan;0.300679864
Turks & Caicos Is.;#DIV/0!
Tuvalu;#DIV/0!
Uganda;0.943482614
Ukraine;3.098679661
United Arab Emirates;#DIV/0!
United Kingdom;67.62831496
United States;31.55767369
Uruguay;3.015826073
Uzbekistan;1.412155496
Vanuatu;0.049098377
Vatican City;#N/A
Venezuela;6.711108
Vietnam;5.726862297
Virgin Is.;#DIV/0!
Wake I.;#N/A
Wallis and Futuna;#N/A
West Bank and Gaza;#DIV/0!
Yemen;1.534805677
Zambia;0.316125205
Zimbabwe;#DIV/0!
(blank);
Grand Total;#DIV/0!
